unique_id,ds,AutoARIMA
96995,2017-08-02,0.812833383626473
96995,2017-08-03,0.761541495514691
96995,2017-08-04,0.761541495514691
96995,2017-08-05,0.761541495514691
96995,2017-08-06,0.761541495514691
96995,2017-08-07,0.761541495514691
96995,2017-08-08,0.761541495514691
96995,2017-08-09,0.761541495514691
96995,2017-08-10,0.761541495514691
96995,2017-08-11,0.761541495514691
96995,2017-08-12,0.761541495514691
96995,2017-08-13,0.761541495514691
96995,2017-08-14,0.761541495514691
96995,2017-08-15,0.761541495514691
99197,2017-08-02,5.23024968283468
99197,2017-08-03,5.18367235210925
99197,2017-08-04,5.13950790422483
99197,2017-08-05,5.09763134267531
99197,2017-08-06,5.0579241462489
99197,2017-08-07,5.02027393358326
99197,2017-08-08,4.98457414509793
99197,2017-08-09,4.95072374140391
99197,2017-08-10,4.91862691733678
99197,2017-08-11,4.8881928308039
99197,2017-08-12,4.85933534567847
99197,2017-08-13,4.83197278801258
99197,2017-08-14,4.80602771487941
99197,2017-08-15,4.78142669519019
103520,2017-08-02,7.42761360311309
103520,2017-08-03,7.4332151891423
103520,2017-08-04,7.49496047080521
103520,2017-08-05,7.60825727503153
103520,2017-08-06,7.60252403980449
103520,2017-08-07,7.58765047980896
103520,2017-08-08,7.7631789112917
103520,2017-08-09,7.78472431159149
103520,2017-08-10,7.81760518922669
103520,2017-08-11,7.85490216053336
103520,2017-08-12,7.88843563340108
103520,2017-08-13,7.91858536843787
103520,2017-08-14,7.9456928060234
103520,2017-08-15,7.97006493306058
103665,2017-08-02,8.56632228910095
103665,2017-08-03,7.21762678131141
103665,2017-08-04,8.32864476984361
103665,2017-08-05,9.69745594041799
103665,2017-08-06,7.38789109835863
103665,2017-08-07,7.48956163013483
103665,2017-08-08,9.5185127176411
103665,2017-08-09,8.49009839261666
103665,2017-08-10,8.21537681602749
103665,2017-08-11,8.55186059938802
103665,2017-08-12,8.92400451138937
103665,2017-08-13,8.17507455048889
103665,2017-08-14,8.30289937016477
103665,2017-08-15,8.90820242389493
105574,2017-08-02,17.106880442598
105574,2017-08-03,17.7043848532698
105574,2017-08-04,19.1883717089535
105574,2017-08-05,22.4765779858703
105574,2017-08-06,23.4276325155839
105574,2017-08-07,21.2082020367746
105574,2017-08-08,19.8838113576629
105574,2017-08-09,21.4050408193269
105574,2017-08-10,20.0414234821269
105574,2017-08-11,21.5726086341521
105574,2017-08-12,25.1107401295883
105574,2017-08-13,25.5023847381096
105574,2017-08-14,21.8428030689346
105574,2017-08-15,20.3033027671638
105575,2017-08-02,17.501286186695
105575,2017-08-03,16.344199459011
105575,2017-08-04,17.1089175603359
105575,2017-08-05,17.5997634949928
105575,2017-08-06,17.2280339396465
105575,2017-08-07,16.9661398755483
105575,2017-08-08,18.0962110942584
105575,2017-08-09,17.0742824451696
105575,2017-08-10,17.0243529998652
105575,2017-08-11,17.0219135443214
105575,2017-08-12,17.0217943572702
105575,2017-08-13,17.0217885340228
105575,2017-08-14,17.0217882495103
105575,2017-08-15,17.0217882356096
105577,2017-08-02,3.57983865443285
105577,2017-08-03,4.46738547436166
105577,2017-08-04,4.2600328571791
105577,2017-08-05,5.93691934265598
105577,2017-08-06,4.75454006997053
105577,2017-08-07,4.6457021616504
105577,2017-08-08,4.8221595161586
105577,2017-08-09,4.83251005927039
105577,2017-08-10,4.87319912189736
105577,2017-08-11,4.35393877879403
105577,2017-08-12,6.36848165856729
105577,2017-08-13,4.7915594410996
105577,2017-08-14,4.61444513656014
105577,2017-08-15,4.36821946975847
105693,2017-08-02,1.1875767544095
105693,2017-08-03,0.746080078228635
105693,2017-08-04,0.98610853222795
105693,2017-08-05,0.884554184750089
105693,2017-08-06,1.30206486167844
105693,2017-08-07,1.02303056709878
105693,2017-08-08,0.947372815648632
105693,2017-08-09,1.0953736134515
105693,2017-08-10,0.824956915229468
105693,2017-08-11,0.799346406466068
105693,2017-08-12,0.81495018414271
105693,2017-08-13,0.873918580183387
105693,2017-08-14,1.23285549767978
105693,2017-08-15,1.12100980818436
105737,2017-08-02,12.4646462372239
105737,2017-08-03,10.6357534832075
105737,2017-08-04,11.4885064937385
105737,2017-08-05,11.9024856553578
105737,2017-08-06,11.833778457626
105737,2017-08-07,11.3400483679564
105737,2017-08-08,11.2045791075359
105737,2017-08-09,11.3009688407694
105737,2017-08-10,10.3966861477097
105737,2017-08-11,11.1433363961411
105737,2017-08-12,11.1742606275597
105737,2017-08-13,10.9864890490937
105737,2017-08-14,10.6835213787061
105737,2017-08-15,10.5315174870666
105857,2017-08-02,30.3754237872345
105857,2017-08-03,30.0836779110124
105857,2017-08-04,30.0708294428902
105857,2017-08-05,30.0702635972467
105857,2017-08-06,30.0702386774438
105857,2017-08-07,30.0702375799774
105857,2017-08-08,30.0702375316451
105857,2017-08-09,30.0702375295165
105857,2017-08-10,30.0702375294228
105857,2017-08-11,30.0702375294187
105857,2017-08-12,30.0702375294185
105857,2017-08-13,30.0702375294185
105857,2017-08-14,30.0702375294185
105857,2017-08-15,30.0702375294185
