unique_id,ds,TimeGPT
96995,2017-08-02,1.3657792
96995,2017-08-03,1.5213081
96995,2017-08-04,1.7392776
96995,2017-08-05,1.780172
96995,2017-08-06,1.7404953
96995,2017-08-07,1.8007842
96995,2017-08-08,1.4192998
96995,2017-08-09,1.2430726
96995,2017-08-10,1.3764775
96995,2017-08-11,1.5791101
96995,2017-08-12,1.6275728
96995,2017-08-13,1.6337311
96995,2017-08-14,1.6251699
96995,2017-08-15,1.3368467
99197,2017-08-02,2.2092257
99197,2017-08-03,3.2392683
99197,2017-08-04,3.7516208
99197,2017-08-05,3.6581216
99197,2017-08-06,4.258459
99197,2017-08-07,3.6402593
99197,2017-08-08,3.9592962
99197,2017-08-09,3.150414
99197,2017-08-10,3.5663366
99197,2017-08-11,4.320806
99197,2017-08-12,4.141115
99197,2017-08-13,4.332789
99197,2017-08-14,3.9194562
99197,2017-08-15,3.9647317
103520,2017-08-02,7.3877144
103520,2017-08-03,8.141444
103520,2017-08-04,8.844642
103520,2017-08-05,8.9583435
103520,2017-08-06,7.4189577
103520,2017-08-07,6.232239
103520,2017-08-08,6.207356
103520,2017-08-09,7.4997272
103520,2017-08-10,8.142322
103520,2017-08-11,8.928989
103520,2017-08-12,8.869328
103520,2017-08-13,7.4811344
103520,2017-08-14,6.1532865
103520,2017-08-15,6.155761
103665,2017-08-02,7.171665
103665,2017-08-03,7.6981573
103665,2017-08-04,10.512786
103665,2017-08-05,11.114557
103665,2017-08-06,7.195848
103665,2017-08-07,6.434984
103665,2017-08-08,6.8117185
103665,2017-08-09,6.9486814
103665,2017-08-10,7.670137
103665,2017-08-11,10.81115
103665,2017-08-12,11.18151
103665,2017-08-13,7.417473
103665,2017-08-14,6.6332693
103665,2017-08-15,6.844882
105574,2017-08-02,18.960464
105574,2017-08-03,17.757914
105574,2017-08-04,19.511427
105574,2017-08-05,26.437618
105574,2017-08-06,26.878078
105574,2017-08-07,20.617872
105574,2017-08-08,19.627197
105574,2017-08-09,19.827814
105574,2017-08-10,18.780592
105574,2017-08-11,20.204006
105574,2017-08-12,26.833374
105574,2017-08-13,27.474747
105574,2017-08-14,21.335445
105574,2017-08-15,19.741547
105575,2017-08-02,19.31925
105575,2017-08-03,17.541653
105575,2017-08-04,19.318043
105575,2017-08-05,24.666296
105575,2017-08-06,23.816963
105575,2017-08-07,18.873264
105575,2017-08-08,17.066906
105575,2017-08-09,16.20503
105575,2017-08-10,16.106945
105575,2017-08-11,18.478151
105575,2017-08-12,23.724066
105575,2017-08-13,23.171654
105575,2017-08-14,18.079344
105575,2017-08-15,16.305313
105577,2017-08-02,2.9204223
105577,2017-08-03,2.355803
105577,2017-08-04,2.5415034
105577,2017-08-05,3.8820443
105577,2017-08-06,3.772317
105577,2017-08-07,3.4984756
105577,2017-08-08,3.4754214
105577,2017-08-09,3.1882062
105577,2017-08-10,2.3736293
105577,2017-08-11,2.5064852
105577,2017-08-12,3.8221982
105577,2017-08-13,3.7593558
105577,2017-08-14,3.5092838
105577,2017-08-15,3.522948
105693,2017-08-02,1.0389483
105693,2017-08-03,0.61774445
105693,2017-08-04,0.73904186
105693,2017-08-05,0.93796796
105693,2017-08-06,1.0618678
105693,2017-08-07,0.82502663
105693,2017-08-08,0.77073604
105693,2017-08-09,0.86553544
105693,2017-08-10,0.58311474
105693,2017-08-11,0.75341314
105693,2017-08-12,0.94203806
105693,2017-08-13,1.0503149
105693,2017-08-14,0.8433159
105693,2017-08-15,0.76425076
105737,2017-08-02,10.613526
105737,2017-08-03,8.827564
105737,2017-08-04,10.624392
105737,2017-08-05,13.603726
105737,2017-08-06,13.207018
105737,2017-08-07,11.742987
105737,2017-08-08,11.603124
105737,2017-08-09,10.692193
105737,2017-08-10,8.834824
105737,2017-08-11,10.646554
105737,2017-08-12,13.561465
105737,2017-08-13,13.1784115
105737,2017-08-14,11.903018
105737,2017-08-15,11.584595
105857,2017-08-02,27.35706
105857,2017-08-03,28.312454
105857,2017-08-04,36.540913
105857,2017-08-05,42.142178
105857,2017-08-06,31.625221
105857,2017-08-07,27.939678
105857,2017-08-08,27.370039
105857,2017-08-09,27.397215
105857,2017-08-10,28.92395
105857,2017-08-11,37.237583
105857,2017-08-12,42.545544
105857,2017-08-13,32.52376
105857,2017-08-14,28.696705
105857,2017-08-15,27.870007
106716,2017-08-02,5.584835
106716,2017-08-03,5.7743015
106716,2017-08-04,6.6438336
106716,2017-08-05,9.161705
106716,2017-08-06,9.898
106716,2017-08-07,6.07234
106716,2017-08-08,5.662759
106716,2017-08-09,5.642046
106716,2017-08-10,5.995346
106716,2017-08-11,6.8653374
106716,2017-08-12,9.389812
106716,2017-08-13,10.06928
106716,2017-08-14,6.2996407
106716,2017-08-15,5.652872
108079,2017-08-02,1.1976926
108079,2017-08-03,1.5641481
108079,2017-08-04,2.306607
