unique_id,ds,Prophet
96995,2017-08-02,-0.336322506393739
96995,2017-08-03,-0.111417453554995
96995,2017-08-04,1.95171485150962
96995,2017-08-05,-0.410430819689625
96995,2017-08-06,-0.292277340679701
96995,2017-08-07,-0.444444153209074
96995,2017-08-08,-0.722317194696878
96995,2017-08-09,-1.05645374693591
96995,2017-08-10,-1.16247293082729
96995,2017-08-11,1.74118675338752
96995,2017-08-12,-0.380006374006183
96995,2017-08-13,-0.595660084738177
96995,2017-08-14,-0.705924179973526
96995,2017-08-15,-0.724585241744355
99197,2017-08-02,1.50350689869079
99197,2017-08-03,1.02095157963274
99197,2017-08-04,7.66633152228087
99197,2017-08-05,2.8888097643258
99197,2017-08-06,2.70960881895795
99197,2017-08-07,2.73397014496357
99197,2017-08-08,5.73785557780779
99197,2017-08-09,1.74084701744549
99197,2017-08-10,1.76321476089172
99197,2017-08-11,7.9925582090031
99197,2017-08-12,3.0334591008881
99197,2017-08-13,2.77461385339682
99197,2017-08-14,3.89298456390096
99197,2017-08-15,6.83157157099263
103520,2017-08-02,5.65552946842941
103520,2017-08-03,5.5240268434164
103520,2017-08-04,6.31725589582286
103520,2017-08-05,7.16786967848427
103520,2017-08-06,5.83979345411327
103520,2017-08-07,3.87499235454901
103520,2017-08-08,4.31848930825059
103520,2017-08-09,5.70447543540298
103520,2017-08-10,5.46589923561543
103520,2017-08-11,6.4780686608314
103520,2017-08-12,7.39262030552432
103520,2017-08-13,6.04045186516651
103520,2017-08-14,4.14166202367423
103520,2017-08-15,4.60976844489445
103665,2017-08-02,5.49427180604696
103665,2017-08-03,5.38623928419499
103665,2017-08-04,9.03472571725026
103665,2017-08-05,11.5591685425072
103665,2017-08-06,6.87442732187032
103665,2017-08-07,4.17848345182113
103665,2017-08-08,3.81402772508954
103665,2017-08-09,5.67293727541252
103665,2017-08-10,5.53612459352773
103665,2017-08-11,9.07692306182701
103665,2017-08-12,11.9487572290264
103665,2017-08-13,7.45838659613972
103665,2017-08-14,4.90496815821294
103665,2017-08-15,4.29354730372425
105574,2017-08-02,20.6924157563228
105574,2017-08-03,14.8142796754665
105574,2017-08-04,17.5334832783367
105574,2017-08-05,28.2948043276781
105574,2017-08-06,31.7297847060086
105574,2017-08-07,20.9395130220864
105574,2017-08-08,20.2821514936728
105574,2017-08-09,25.9698989113083
105574,2017-08-10,19.2217692789849
105574,2017-08-11,22.2306093388385
105574,2017-08-12,33.3899780862253
105574,2017-08-13,36.6591025855672
105574,2017-08-14,24.8136209749371
105574,2017-08-15,24.198286453714
105575,2017-08-02,12.7725561936604
105575,2017-08-03,5.57808615451124
105575,2017-08-04,10.7946960196287
105575,2017-08-05,25.5390494305112
